id,name,reason,score,best_candidate,PostOrt
2298,If Insurance,no_candidates,,,
2302,Hälsokontroller och blodprover Stockholm | Nordic Wellth,no_candidates,,,
2303,Opper AI,no_candidates,,,
2304,Releev AI Labs,no_candidates,,,
2305,Seasia Infotech,no_candidates,,,
2306,Make AI Easy - C2M AB,no_candidates,,,
2313,Fotanofe AB - For The Many Not The Few,no_candidates,,,
2316,Toolverse AI,no_candidates,,,
2318,AIxDesign AB,no_candidates,,,
2320,Chatmoat,no_candidates,,,
