id,name_x,reason,score,best_candidate,PostOrt,name_y,website,location_city,location_country
2015,AI Utbildningscentrum (AIUC),no_candidates,,,,AI Utbildningscentrum (AIUC),https://www.aiuc.se,,Sweden
2021,Studiefrämjandet Uppsala Västmanland,no_candidates,,,,Studiefrämjandet Uppsala Västmanland,,,Sweden
2028,Nation.dev,no_candidates,,,,Nation.dev,https://nation.dev/,,Sweden
2033,Johan Lundberg AB,no_candidates,,,,Johan Lundberg AB,,,Sweden
2035,Mikrofonden Sverige / Sweden,no_candidates,,,,Mikrofonden Sverige / Sweden,https://mikrofonden.se/,,Sweden
2052,Epachois Hospital Beds - Innovation,no_candidates,,,,Epachois Hospital Beds - Innovation,,,Sweden
2055,flux 1.1 Pro AI,no_candidates,,,,flux 1.1 Pro AI,https://flux1-1.ai/,,Sweden
2056,AI for Social Progress,no_candidates,,,,AI for Social Progress,https://ai4sp.org,,Sweden
2072,Chatpdffree.com,no_candidates,,,,Chatpdffree.com,https://chatpdffree.com,,Sweden
2078,Four PR,no_candidates,,,,Four PR,https://www.fourpr.se,,Sweden
2079,Artificial Engineering,no_candidates,,,,Artificial Engineering,https://artificial.engineering,,Sweden
2086,Aposmart,no_candidates,,,,Aposmart,https://www.aposmart.se/,,Sweden
2093,M10 AI,no_candidates,,,,M10 AI,https://linktr.ee/m10ai,,Sweden
2100,Soul Rehab,no_candidates,,,,Soul Rehab,,,Sweden
2101,Doings by House of Impact AB,no_candidates,,,,Doings by House of Impact AB,https://doings.se,,Sweden
2102,And-U,no_candidates,,,,And-U,https://www.and-u.se,,Sweden
2105,Quantic Ceos New Media,no_candidates,,,,Quantic Ceos New Media,,,Sweden
2108,Unikum - Net AB,no_candidates,,,,Unikum - Net AB,https://www.unikum.net,,Sweden
2113,Avelon Consulting,no_candidates,,,,Avelon Consulting,https://www.avelon.ai,,Sweden
2130,BUILD:ology,no_candidates,,,,BUILD:ology,,,Sweden
2131,Kodehash Technologies,no_candidates,,,,Kodehash Technologies,https://kodehash.com/,,Sweden
2133,Teldrip,no_candidates,,,,Teldrip,https://teldrip.com/,,Sweden
2141,Forge Systems,no_candidates,,,,Forge Systems,https://forge-systems.tech/,,Sweden
2148,GF Piping System,no_candidates,,,,GF Piping System,,,Sweden
2152,heck.ai,no_candidates,,,,heck.ai,https://heck.ai,,Sweden
2154,CanaryBit,no_candidates,,,,CanaryBit,https://www.canarybit.eu,,Sweden
2156,Karlskoga Energi & Miljö AB,no_candidates,,,,Karlskoga Energi & Miljö AB,https://www.karlskogaenergi.se/,,Sweden
2161,Worley Sweden,no_candidates,,,,Worley Sweden,https://www.worley.com/,,Sweden
